"","ORGANIZATION ID (IPF)","longitude","latitude"
"1",10049926,-71.689103,42.421488
"2",4238201,-117.501171,34.066228
"3",3584701,-105.010179,38.453176
"4",4326801,-78.8986,35.994
"5",10015960,-117.0181,32.776251
"6",10039246,-111.887356,40.687403
"7",10030024,-83.93421,35.95369
"8",10055378,-97.692596,30.349539
"9",10037533,-95.397958,29.895532
"10",10043001,-122.289655,37.85727
"11",2455201,-73.977481,40.739123
"12",10044954,-77.133039,39.071251
"13",10047270,-122.386424,37.928596
"14",10047097,-93.405452,44.887039
"15",10040747,-71.116212,42.372184
"16",10040719,-71.20217,42.352945
"17",10037418,-117.033919,32.781915
"18",10035809,-117.033919,32.781915
"19",10053309,-76.606541,39.2889035
"20",10036940,-77.095297,38.982472
"21",10027013,-75.632783,40.243527
"22",294701,-77.18,38.94
"23",4232201,-87.869275,42.277954
"24",10006062,4.824977,52.348041
"25",10037457,-55.16667,5.86667
"26",1638101,-77.038993,38.905364
"27",10022675,-95.572599,29.73722
"28",10038554,-122.420531,37.781614
"29",10039916,-76.522479,39.325739
"30",2825901,-117.14,32.83
"31",10034448,-105.063911,40.567678
"32",10042947,-90.321984,38.586647
"33",10045369,-81.000383,33.998286
"34",4100601,-88.241139,40.047942
"35",10053523,-87.94163,43.118179
"36",10021795,-71.46905,42.164028
"37",10042431,-68.672256,44.882984
"38",4117001,-117.26829,33.12681
"39",10013439,-77.782798,40.909136
"40",10004801,-78.478634,38.029686
"41",10001134,-122.340615,37.589928
"42",10041752,-117.988608,34.132819
"43",10036066,-78.64953,35.764208
"44",10045591,-117.1739,46.7304
"45",10044949,-87.67349,41.96061
"46",10045849,-86.446499,35.858891
"47",10036832,-87.627336,41.888463
"48",117601,38.7666699662805,8.950000071029
"49",10038015,-71.103869,42.345909
"50",34201,-73.654511,40.721567
"51",10032755,-122.161802,37.444889
"52",10027927,-0.63222,44.80583
"53",10024422,-73.937216,40.699566
"54",10038597,-87.593142,30.267148
"55",10047902,-75.166205,39.952979
"56",10019494,-74.602009,40.358621
"57",319502,-77.061064,39.036607
"58",3493801,-117.27478,33.136584
"59",10044720,-78.64953,35.764208
"60",3628401,-81.6934,41.5052
"61",10006547,-75.496444,39.756561
"62",3062101,-93.427348,45.09403
"63",10023818,-73.951212,40.816773
"64",10038363,-74.76896,40.220875
"65",10008289,-92.48,44
"66",4559001,-71.20217,42.352945
"67",3327002,-81.356188,28.558442
"68",10052003,-111.979357,33.594688
"69",10019453,-122.420531,37.781614
"70",10012871,-86.665028,39.089849
"71",10043617,-121.907576,37.322113
"72",10048295,-105.076611,40.565985
"73",3293901,-122.301824,37.876303
"74",10032131,-84.43855,39.228491
"75",4204801,-117.231661,32.912818
"76",10002443,-122.22865,37.493417
"77",10031812,-78.765971,35.92867
"78",10031987,32.650141,-18.983977
"79",4110401,67.0744685,24.892632
"80",10027405,-76.636657,39.454392
"81",10032049,-106.648448,35.09949
"82",10031615,-96.330787,30.630655
"83",10048523,-71.281824,41.509645
"84",10038623,-117.284448,33.048701
"85",10032785,5.357801,43.293565
"86",10002911,-77.403578,39.412159
"87",10027846,-81.753023,41.466912
"88",10032925,-70.8606575,42.57330795
"89",10000233,-73.411926,40.71472
"90",10030585,-87.567631,33.120981
"91",846901,-86.2953605,32.364592
"92",10005296,-149.88,61.19
"93",3876801,-149.806339,61.182949
"94",8455011,-73.77643,42.653445640625
"95",8455007,-73.77643,42.653445640625
"96",3294801,-73.875608,42.702548
"97",10053556,-73.8454565,40.85072
"98",10053556,-73.8454565,40.85072
"99",3988301,-75.120418,40.035597
"100",1365801,-106.565726,35.107546
"101",10038748,-76.6108,39.2909
"102",10020711,-82.51,29.78
"103",10048610,-88.204,41.627
"104",10036337,-71.063259,42.361182
"105",10039399,-77.85847,40.795028
"106",1804102,-75.54,39.83
"107",10053374,-87.697352,42.064083
"108",10043479,-104.717163,39.586844
"109",1329103,-80.0161,40.4465
"110",10047317,-117.033919,32.781915
"111",10046889,-117.186572,47.669112
"112",10012306,-122.339051,47.625112
"113",10052637,-71.122591,42.357074
"114",165301,77.2112895,28.5675195
"115",10006729,-117.686521,33.666587
"116",10030486,-80.8507,32.6902
"117",10041637,-75.324679,40.020078
"118",3729101,-71.346402,42.256171
"119",10041040,-78.875077,35.903808
"120",10040184,-79.03047,35.929309
"121",10040802,-122.350724,47.619299
"122",3749901,-80.28314,25.991707
"123",10047602,-117.033919,32.781915
"124",10047298,-72.9251,41.3082
"125",4113301,-87.623639,41.885965
"126",10002649,-73.9826608125,40.76872225
"127",10015103,-95.113744,29.558102
"128",10001582,-117.033919,32.781915
"129",3372701,-71.171607,42.365322
"130",10049800,-77.147573,39.080822
"131",3887801,-71.4448673,41.8359701
"132",10023006,-77.342731,38.947529
"133",1477001,-122.669353,45.62969
"134",2970601,-85.739473,42.885066
"135",210901,-75.15,39.95
"136",4232601,-77.058965,38.8043535
"137",10045852,-105.118312,39.566694
"138",366601,-84.380397,33.755512
"139",10033864,-77.1776,38.9343
"140",10000350,-77.0861685,39.001329
"141",9510402,-77.32921,38.94368
"142",3994301,-84.346772,33.848832
"143",245101,-87.622807,41.893893
"144",256502,-87.622848,41.896945
"145",10013528,-73.984745,40.752882
"146",10025790,-77.1,38.99
"147",1599301,-74.003482,40.750464
"148",277401,-96.705559,32.974823
"149",4386101,-77.040713,38.808967
"150",10000908,-92.2432,31.9029
"151",2591701,-77.1,38.99
"152",4299401,-87.8140929,42.0725902
"153",10017428,-71.349826,42.599617
"154",340101,-77.099964,39.01404
"155",345802,-77.04672,38.91063
"156",349601,-77.007264,38.900239
"157",353401,-77.023317,38.900901
"158",10040550,-170.686,-14.2807
"159",10001467,-77.04,38.91
"160",3913001,-77.1,38.99
"161",409901,-77.040369,38.907086
"162",2448601,-77.09,38.96
"163",10003708,-88.04,42.05
"164",4313801,-87.91,43.04
"165",10004878,-77.044373,38.903749
"166",10004881,-77.1234,39.0617
"167",2025201,-77.03,39
"168",393301,-77.184055,39.102191
"169",397101,-77.45,38.75
"170",399001,-77.09,38.9515
"171",10017506,-117.3419,47.8266
"172",401501,-76.672932,39.209583
"173",10024355,-105.129058,39.988441
"174",10029662,-122.420531,37.781614
"175",10036236,-117.033919,32.781915
"176",10046885,-122.14279,37.400186
"177",10033500,-86.1584,39.7683
"178",10051888,-117.670344,33.566602
"179",10034526,-74.906318,39.964702
"180",10036006,-79.972807,40.329823
"181",10039004,-93.291922,44.961849
"182",10046768,-79.03047,35.929309
"183",10034507,-111.6342,33.2484
"184",10002638,-73.6,40.72
"185",10020830,-71.063259,42.361182
"186",10033892,-117.033919,32.781915
"187",4519001,-77.001294,39.082836
"188",10045005,-82.331157,29.668739
"189",10026194,-122.672659,45.520057
"190",2256601,-71.1523,42.4793
"191",4350701,-76.69,40.27
"192",578208,-81.6782085,36.2142175
"193",10036953,-71.238774,42.376385
"194",10052524,-117.1540665,32.726423
"195",10003449,-117.84,33.65
"196",10047410,-93.6418485,45.0648943
"197",10053412,-118.482754,34.020761
"198",10035356,-73.37071,41.14493
"199",10031582,-122.124393,37.451515
"200",10001515,-90.24974,38.642621
"201",4227901,-93.71031,42.02332
"202",10032481,-119.609471,34.422082
"203",10049673,-110.9265,32.2217
"204",10023324,-71.143398,42.463104
"205",10038378,-71.20217,42.352945
"206",10043578,-83.0567,42.3487
"207",10035217,-83.604739,42.202291
"208",10020933,-83.744273,42.281006
"209",10040825,-71.09839,42.362135
"210",10048776,-77.06537,38.904716
"211",10044721,-90.335823,38.550869
"212",10050004,-78.596689,35.850784
"213",10054516,-72.26039,43.675857
"214",10010171,-71.0596,42.3605
"215",10038452,-117.033919,32.781915
"216",10026686,-117.177088,32.907128
"217",488301,-111.93,33.42
"218",491702,-92.2918125,34.7426335
"219",494001,-90.455999,35.94505
"220",10016258,-122.748407,45.48572
"221",10041645,-78.64953,35.764208
"222",10027818,-77.22,38.7
"223",10004871,-71.52467,42.2271
"224",10031086,-121.965176,37.768844
"225",10027891,-79.340054,43.727057
"226",10048837,-87.79766,42.107798
"227",10033427,-75.283236,40.098185
"228",10001518,-83.381126,33.938543
"229",10052276,-88.090737,42.985437
"230",10035324,-78.896751,36.001272
"231",10029265,-76.636657,39.454392
"232",9615001,-83.16288,42.179027
"233",10019366,-87.65,41.94
"234",4353001,-77.022063,-12.140806
"235",4315301,-71.4371,41.781
"236",10029999,-87.8114,42.0701
"237",543401,-77.12,39.06
"238",10033380,-93.125094,45.053751
"239",10024617,-83.085355,42.314808
"240",10040669,-96.26955,30.65088
"241",10021546,-122.057766,37.400989
"242",10037793,-71.116212,42.372184
"243",10028991,-97.699314,30.1556
"244",10039976,-83.595883,42.230063
"245",3145202,-74.469168,40.777284
"246",4440101,-78.875077,35.903808
"247",10031252,-97.3440988,32.758546
"248",1470402,-85.486097,32.601118
"249",10047055,-122.197644,37.730542
"250",10049051,-82.08977,33.50319
"251",10041486,-122.008282,37.375105
"252",676605,-81.96592,33.473487
"253",10042339,-118.166202,34.021513
"254",10052325,-90.335823,38.550869
"255",10053422,-111.796708,33.594872
"256",10000119,-118.088897,34.145489
"257",2531001,-87.954578,42.994604
"258",10038566,-76.935183,39.212331
"259",10003970,149.130607,-35.290206
"260",10048505,-95.311369,29.680293
"261",10034579,-122.301824,37.876303
"262",10040052,-73.07993,40.951345
"263",10025294,-74.01615,40.646392
"264",10023158,-80.088005,26.346232
"265",10043024,-117.294949,33.045421
"266",10004565,-96.7003,43.55
"267",10036723,-110.912154,32.189418
"268",10050263,-78.783361,35.769091
"269",10034791,-122.248891,47.449687
"270",10015410,-84.390125,33.754508
"271",10039826,-79.33941,36.58375
"272",3823401,-75.358359,40.615113
"273",10006049,-75.73712,39.662104
"274",10025087,-83.750049,42.281931
"275",10035717,-78.875077,35.903808
"276",628901,-85.407055,40.201278
"277",644101,82.995032,25.272653
"278",2202601,-112.260471,33.478007
"279",3320904,-89.677459,35.535757
"280",10041210,-147.754051,64.813464
"281",1833203,-73.9636335,40.8099185
"282",3728601,-78.49,38.06
"283",10005877,-75.13,40.33
"284",10033420,-95.301436,29.531617
"285",10040983,-111.900003,40.742156
"286",10044876,-73.937216,40.699566
"287",10034321,-122.14279,37.400186
"288",680201,-70.2148,44.1004
"289",685902,-82.999333,39.984786
"290",685901,-83.01908,39.98869
"291",685903,-119.23,46.23
"292",1796101,-122.27,37.83
"293",10043457,-97.557096,35.475102
"294",481201,-95.39637,29.7105295
"295",2915302,-96.8,32.8
"296",697301,-97.1203665,31.54958
"297",7710201,-72.603633,42.121618
"298",10047061,-122.463,37.7648
"299",10003117,-84.022439,42.299807
"300",10016969,-118.119885,34.151196
"301",10051736,-118.4024,34.162
"302",10040818,-118.378913,33.873118
"303",10040636,-147.712095,64.844815
"304",10045557,-76.636657,39.454392
"305",10047155,-79.943991,37.198508
"306",3058203,-117.972408,34.129321
"307",9615901,-74.2057,41.0168
"308",10022867,-91.528998,41.645911
"309",4574601,-89.470544,43.059383
"310",10048287,-87.6244,41.8756
"311",8961401,-122.326857,47.609966
"312",10044716,-78.6391,35.7804
"313",10053136,-106.648448,35.09949
"314",10010253,-77.434037,38.889461
"315",10044685,-122.268959,37.880472
"316",2104801,-82.99,40.09
"317",10031321,-71.482672,42.297493
"318",10047606,-71.063259,42.361182
"319",3978501,-77.093323,38.984435
"320",758101,-71.0596,42.3605
"321",10008893,-74.648394,40.408123
"322",10041332,-104.760466,39.518548
"323",10050355,-117.915957,33.86278
"324",10032967,-83.750049,42.281931
"325",10000058,-122.307561,37.882557
"326",10036408,-111.820371,40.757759
"327",10016683,-117.033919,32.781915
"328",1836501,-74.01615,40.646392
"329",10027953,-74.3649,40.8201
"330",10006181,-81.753023,41.466912
"331",10048294,-90.335823,38.550869
"332",10037425,-79.03047,35.929309
"333",3784401,-76.82246,39.15124
"334",3678301,-104.76,38.89
"335",10040168,-121.982452,37.516118
"336",10000137,-78.949735,36.025574
"337",10016123,-77.16029,39.113097
"338",10019836,-77.1528,39.084
"339",3784601,-81.337664,28.560549
"340",10030860,-76.86,38.91
"341",10031134,-117.333783,33.225785
"342",838205,-77.12,39.06
"343",3429201,-106.59,35.08
"344",3100101,-83.78,42.28
"345",10036196,-104.840389,39.574407
"346",10052473,-71.2092,42.337
"347",10037657,-73.902558,41.536262
"348",10045926,-78.70289,42.92615
"349",10049946,-118.572042,34.170993
"350",4442201,-73.07993,40.951345
"351",10015486,-117.75,33.65
"352",10032228,-84.529733,38.055395
"353",1965903,-77.14341,39.103123
"354",10013833,-118.3965,34.0211
"355",4112201,-73.937216,40.699566
"356",10015346,-71.121035,42.342639
"357",10019679,-111.924626,33.334338
"358",10004235,-122.714714,45.45563
"359",10034047,-117.26829,33.12681
"360",10036979,-71.46905,42.164028
"361",10008116,-90.455999,35.94505
"362",10040374,-111.908389,33.475538
"363",2411001,-95.420793,29.679682
"364",10030530,-76.16098,36.828059
"365",10000994,-122.197644,37.730542
"366",2383501,-86.391512,35.859582
"367",10035293,-119.69583,34.41131
"368",10049933,-97.186505,31.524889
"369",4227501,-103.23,44.08
"370",10040116,-75.154252,39.948701
"371",10021089,-111.83,40.76
"372",10045195,-122.420531,37.781614
"373",1809702,-76.447595,41.008288
"374",10023851,-118.159947,34.180216
"375",10046561,-71.2184,42.369357
"376",10043536,-117.283723,33.050215
"377",4315701,-93.265965,45.131594
"378",10039962,-71.116212,42.372184
"379",10040752,-93.288671,44.9041
"380",10033533,-111.894631,33.381405
"381",478201,-116.2038185,43.6042865
"382",3731801,-105.198344,40.070381
"383",10048439,-96.330787,30.630655
"384",682902,-77.232132,38.922421
"385",1504801,-71.105591,42.33743825
"386",872101,-71.1664485,42.335152
"387",3617301,-71.07346475,42.3346785
"388",10001093,-71.1,42.35
"389",894901,-71.07346475,42.3346785
"390",10030603,25.90861,-24.65694
"391",10054805,-73.9496,40.6501
"392",4555201,-105.185992,40.015536
"393",10039432,-74.920935,39.874252
"394",902501,-69.9620465,43.908476
"395",1523202,-83.637368,41.378682
"396",908201,-76.479407,42.446636
"397",10038855,-78.478458,38.02961
"398",10049426,-123.133307,44.048848
"399",10042703,-71.063496,42.374542
