,Place name,Latitude,Longitude
0,"Encinitas, CA, USA",33.039139,-117.295425
1,"Ocala, FL, USA",29.187199,-82.140091
2,"Fremont, CA, USA",37.548271,-121.988571
3,"Gainesville, FL, USA",29.651634,-82.324829
4,"Fayetteville, NC, USA",35.052666,-78.878357
5,"O'Fallon, MO, USA",38.810608,-90.699844
6,"West Covina, CA, USA",34.068623,-117.938950
7,"Pico Rivera, CA, USA",33.983070,-118.096733
8,"Haines City, FL, USA",28.114183,-81.617851
9,"Joplin, Missouri, USA",37.084229,-94.513283
10,"Rock Hill, SC, USA",34.924866,-81.025078
11,"Lee's Summit, MO, USA",38.910843,-94.382172
12,"Dearborn, MI, USA",42.322262,-83.176315
13,"Newark, NJ, USA",40.735657,-74.172363
14,"Pontiac, MI, USA",42.638924,-83.291046
15,"Salem, MA, USA",42.519539,-70.896713
16,"Chattanooga, TN, USA",35.045631,-85.309677
17,"Palmdale, CA, USA",34.579449,-118.109291
18,"Redondo Beach, CA, USA",33.849182,-118.388405
19,"Tuscaloosa, AL, USA",33.189281,-87.565155
20,"Davie, FL, USA",26.076477,-80.252113
21,"Hattiesburg, MS, USA",31.327120,-89.290337
22,"Victoria, TX, USA",28.798952,-97.028503
23,"Casas Adobes, AZ, USA",32.319054,-111.001053
24,"Big Spring, TX, USA",32.250992,-101.479073
25,"Battle Creek, MI, USA",42.321152,-85.179710
26,"Eugene, OR, USA",44.052071,-123.086754
27,"Marrero, LA, USA",29.899372,-90.100349
28,"Castle Rock, CO, USA",39.374912,-104.853859
29,"Old Bridge Township, NJ, USA",40.402714,-74.305428
30,"Huntington Beach, CA, USA",33.660057,-117.998970
31,"Havertown, PA, USA",39.981461,-75.309387
32,"Brea, CA, USA",33.916679,-117.900063
33,"Virginia Beach, VA, USA",36.863140,-76.015778
34,"Warren, MI, USA",42.491943,-83.023888
35,"Anderson, SC, USA",34.503441,-82.650131
36,"White Plains, NY, USA",41.033985,-73.762909
37,"Lansing, MI, USA",42.732536,-84.555534
38,"Bismarck, ND, USA",46.825905,-100.778275
39,"Spring, TX, USA",30.085136,-95.425186
40,"Kissimmee, FL, USA",28.291956,-81.407570
41,"Eden Prairie, MN, USA",44.852463,-93.475113
42,"Louisville, KY, USA",38.328732,-85.764771
43,"Florence, SC, USA",34.195435,-79.762566
44,"Nashua, NH, USA",42.765366,-71.467567
45,"Greece, NY, USA",43.209785,-77.693062
46,"Bolingbrook, IL, USA",41.698643,-88.068398
47,"Midland, TX, USA",32.000507,-102.077408
48,"El Cajon, CA, USA",32.794773,-116.962524
49,"Chula Vista, CA, USA",32.639954,-117.106705
50,"Raleigh, NC, USA",35.787743,-78.644257
51,"Tewksbury, MA, USA",42.610649,-71.234222
52,"Williamsport, PA, USA",41.242451,-77.002831
53,"Olympia, WA, USA",47.037872,-122.900696
54,"Alhambra, CA, USA",34.095287,-118.127014
55,"Sandy Springs, GA, USA",33.935101,-84.360924
56,"Frederick, MD, USA",39.412327,-77.425461
57,"Erie, PA, USA",42.129223,-80.085060
58,"Mountain View, CA, USA",37.386051,-122.083855
59,"Eagle, ID, USA",43.695442,-116.354012
60,"Sugar Land, TX, USA",29.619678,-95.634949
61,"Jackson, MS, USA",32.298756,-90.184807
62,"Harrisburg, PA, USA",40.263680,-76.890739
63,"Edina, MN, USA",44.889687,-93.349953
64,"Metairie, LA, USA",29.984093,-90.152855
65,"Rancho Cordova, CA, USA",38.589073,-121.302727
66,"Mobile, AL, USA",30.695366,-88.039894
67,"San Diego, CA, USA",32.715736,-117.161087
68,"East Peoria, IL, USA",40.666149,-89.580101
69,"North Charleston, SC, USA",32.854622,-79.974808
70,"Gulfport, MS, USA",30.367420,-89.092819
71,"Cherry Hill, NJ, USA",39.926811,-75.024628
72,"Cincinnati, OH, USA",39.103119,-84.512016
73,"Glendale, CA, USA",34.142509,-118.255074
74,"Reading, PA, USA",40.335648,-75.926872
75,"Burien, WA, USA",47.470379,-122.346794
76,"Largo, FL, USA",27.909468,-82.787323
77,"Palm Harbor, FL, USA",28.078072,-82.763710
78,"Turlock, CA, USA",37.494656,-120.846596
79,"Camilla, GA, USA",31.231293,-84.210464
80,"Flagstaff, AZ, USA",35.198284,-111.651299
81,"Napa, CA, USA",38.297539,-122.286865
82,"Greenwich, CT, USA",41.027054,-73.620071
83,"Flower Mound, TX, USA",33.014568,-97.096954
84,"Plano, TX, USA",33.019844,-96.698883
85,"Atlanta, GA, USA",33.753746,-84.386330
86,"Marietta, GA, USA",33.952602,-84.549934
87,"Hopkinsville, KY, USA",36.865601,-87.488617
88,"Thousand Oaks, CA, USA",34.170563,-118.837593
89,"Omaha, NE, USA",41.257160,-95.995102
90,"Newark, CA, USA",37.529659,-122.040237
91,"Haltom City, TX, USA",32.799576,-97.269180
92,"Smithtown, NY, USA",40.855930,-73.200668
93,"Burbank, CA, USA",34.180840,-118.308968
94,"La Crosse, WI, USA",43.801357,-91.239578
95,"Brookfield, WI, USA",43.061615,-88.107948
96,"Arden-Arcade, CA, USA",38.600807,-121.377037
97,"Mercer Island, WA, USA",47.570656,-122.222069
98,"Petaluma, CA, USA",38.244923,-122.626991
99,"Yorktown, VA, USA",37.238754,-76.509674
